epoch,iso,raw_dht11
1753722729.9662032,2025-07-28T18:12:09.966211,"0.0,0.0"
1753722730.071567,2025-07-28T18:12:10.071573,"0.0,0.0"
1753722730.171799,2025-07-28T18:12:10.171806,"0.0,0.0"
1753722730.271977,2025-07-28T18:12:10.271985,"0.0,0.0"
1753722730.37202,2025-07-28T18:12:10.372029,"0.0,0.0"
1753722730.472395,2025-07-28T18:12:10.472402,"0.0,0.0"
1753722730.5725965,2025-07-28T18:12:10.572604,"0.0,0.0"
1753722730.6728973,2025-07-28T18:12:10.672905,"0.0,0.0"
1753722730.772945,2025-07-28T18:12:10.772952,"0.0,0.0"
1753722730.873222,2025-07-28T18:12:10.873229,"0.0,0.0"
1753722730.9733913,2025-07-28T18:12:10.973398,"0.0,0.0"
1753722731.0735455,2025-07-28T18:12:11.073552,"0.0,0.0"
1753722731.1737924,2025-07-28T18:12:11.173799,"0.0,0.0"
1753722731.2740977,2025-07-28T18:12:11.274105,"0.0,0.0"
1753722731.3743458,2025-07-28T18:12:11.374353,"0.0,0.0"
1753722731.4745638,2025-07-28T18:12:11.474571,"0.0,0.0"
1753722731.5748832,2025-07-28T18:12:11.574891,"0.0,0.0"
1753722731.6750717,2025-07-28T18:12:11.675079,"0.0,0.0"
1753722731.775492,2025-07-28T18:12:11.775501,"0.0,0.0"
1753722731.8758914,2025-07-28T18:12:11.875900,"0.0,0.0"
1753722731.9762487,2025-07-28T18:12:11.976258,"0.0,0.0"
1753722732.076476,2025-07-28T18:12:12.076485,"0.0,0.0"
1753722732.1767478,2025-07-28T18:12:12.176757,"0.0,0.0"
1753722732.2820303,2025-07-28T18:12:12.282039,"0.0,0.0"
1753722732.3973567,2025-07-28T18:12:12.397364,"0.0,0.0"
1753722732.4873857,2025-07-28T18:12:12.487393,"0.0,0.0"
1753722732.5877364,2025-07-28T18:12:12.587744,"0.0,0.0"
1753722732.6878195,2025-07-28T18:12:12.687828,"0.0,0.0"
1753722732.7881389,2025-07-28T18:12:12.788146,"0.0,0.0"
1753722732.8883345,2025-07-28T18:12:12.888341,"0.0,0.0"
1753722732.9886825,2025-07-28T18:12:12.988690,"0.0,0.0"
1753722733.0887809,2025-07-28T18:12:13.088788,"0.0,0.0"
1753722733.1889503,2025-07-28T18:12:13.188958,"0.0,0.0"
1753722733.2892754,2025-07-28T18:12:13.289282,"0.0,0.0"
1753722733.3895192,2025-07-28T18:12:13.389528,"0.0,0.0"
1753722733.4897137,2025-07-28T18:12:13.489721,"0.0,0.0"
1753722733.5899944,2025-07-28T18:12:13.590001,"0.0,0.0"
1753722733.6902537,2025-07-28T18:12:13.690261,"0.0,0.0"
1753722733.7904415,2025-07-28T18:12:13.790449,"0.0,0.0"
1753722733.8907368,2025-07-28T18:12:13.890744,"0.0,0.0"
1753722733.9909647,2025-07-28T18:12:13.990972,"0.0,0.0"
1753722734.0911937,2025-07-28T18:12:14.091200,"0.0,0.0"
1753722734.1913433,2025-07-28T18:12:14.191351,"0.0,0.0"
1753722734.2915459,2025-07-28T18:12:14.291553,"0.0,0.0"
1753722734.391708,2025-07-28T18:12:14.391716,"0.0,0.0"
1753722734.4919417,2025-07-28T18:12:14.491948,"0.0,0.0"
1753722734.5973394,2025-07-28T18:12:14.597347,"0.0,0.0"
1753722734.7026916,2025-07-28T18:12:14.702699,"0.0,0.0"
1753722734.8078382,2025-07-28T18:12:14.807845,"0.0,0.0"
1753722734.9081535,2025-07-28T18:12:14.908160,"0.0,0.0"
1753722735.0082524,2025-07-28T18:12:15.008259,"0.0,0.0"
1753722735.1085744,2025-07-28T18:12:15.108581,"0.0,0.0"
1753722735.2086217,2025-07-28T18:12:15.208629,"0.0,0.0"
1753722735.3091822,2025-07-28T18:12:15.309189,"0.0,0.0"
1753722735.4093454,2025-07-28T18:12:15.409352,"0.0,0.0"
1753722735.509628,2025-07-28T18:12:15.509635,"0.0,0.0"
1753722735.6098475,2025-07-28T18:12:15.609856,"0.0,0.0"
1753722735.7100863,2025-07-28T18:12:15.710093,"0.0,0.0"
1753722735.8102427,2025-07-28T18:12:15.810250,"0.0,0.0"
1753722735.9104636,2025-07-28T18:12:15.910471,"0.0,0.0"
1753722736.0107386,2025-07-28T18:12:16.010746,"0.0,0.0"
1753722736.1110394,2025-07-28T18:12:16.111047,"0.0,0.0"
1753722736.2111995,2025-07-28T18:12:16.211207,"0.0,0.0"
1753722736.3112562,2025-07-28T18:12:16.311264,"0.0,0.0"
1753722736.41165,2025-07-28T18:12:16.411659,"0.0,0.0"
1753722736.5119426,2025-07-28T18:12:16.511950,"0.0,0.0"
1753722736.6121426,2025-07-28T18:12:16.612150,"0.0,0.0"
1753722736.7122252,2025-07-28T18:12:16.712232,"0.0,0.0"
1753722736.8125262,2025-07-28T18:12:16.812534,"0.0,0.0"
1753722736.9127119,2025-07-28T18:12:16.912719,"0.0,0.0"
1753722737.0180736,2025-07-28T18:12:17.018081,"0.0,0.0"
1753722737.1234758,2025-07-28T18:12:17.123482,"0.0,0.0"
1753722737.2236555,2025-07-28T18:12:17.223662,"0.0,0.0"
