[2025-08-13 07:56:52.632] [INFO] Cameraapp main function started
[2025-08-13 07:56:52.704] [INFO] Initializing cameraapp
[2025-08-13 07:57:03.738] [INFO] Cameraapp initialization complete
[2025-08-13 07:57:03.964] [INFO] HK transmission thread started
[2025-08-13 07:58:04.373] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:04.649] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:04.650] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:05.375] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:05.651] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:05.652] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:06.376] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:06.654] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:06.654] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:07.378] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:07.656] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:07.657] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:08.380] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:08.658] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:08.659] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:09.381] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:09.661] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:09.662] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:10.383] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:10.663] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:10.663] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:11.384] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:11.665] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:11.666] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:12.385] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:12.667] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:12.668] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:13.387] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:13.669] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:13.670] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:14.388] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:14.673] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:14.673] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:15.392] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:15.675] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:15.676] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:16.393] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:16.679] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:16.680] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:17.395] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:17.682] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:17.682] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:18.399] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:18.684] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:18.686] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:19.401] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:19.687] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:19.688] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:20.402] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:20.689] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:20.690] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:21.403] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:21.692] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:21.693] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:22.404] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:22.696] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:22.697] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:23.406] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:23.699] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:23.701] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:24.411] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:24.703] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:24.705] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:25.412] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:25.706] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:25.707] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:26.413] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:26.709] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:26.709] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:27.415] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:27.711] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:27.712] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:28.416] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:28.714] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:28.715] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:29.417] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:29.717] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:29.719] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:30.419] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:30.720] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:30.721] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:31.421] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:31.724] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:31.725] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:32.422] [MSG_SENT] Message 2701 sent to HKApp
